"","game_name","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"119","Age of Mythology: The Titans","other","Microsoft","September","2003"," T",8.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,8,6,11,9,5,6,10,17,22
"120","Age of Pirates 2: City of Abandoned Ships","other","other","May","2009"," M",5.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,0,1,3,0,2,5,4,9
"121","Age of Pirates: Caribbean Tales","other","other","September","2006"," T",7.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,1,1,3,4,6
"122","Age of Sail II","other","other","January","2001"," E",7.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"123","Age of Wonders","Epic Games","Gathering of Developers (aka GOD Games)","October","1999"," E",8.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,8,3,12,5,6,3,12,17,26
"124","Age of Wonders II: The Wizard's Throne","Epic Games","Gathering of Developers (aka GOD Games)","June","2002"," T",8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,2,2,0,3,3,3,8
"125","Age of Wonders III","other","other","March","2014"," T",7.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,1,3,9,3,1,8,6,30
"126","Age of Wonders: Planetfall","other","Paradox  Interactive","August","2019"," T",8.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,14,5,16,8,7,6,17,19,24
"127","Age of Wushu","other","other","April","2013"," M",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0,6,5,1,3,9,7,16
"130","Agents of Mayhem","Volition","Deep Silver","August","2017"," M",7.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,15,2,13,9,7,8,16,18,33
