"","rn","meanImp","medianImp","minImp","maxImp","normHits","decision"
"70","`V1_Atari Corp. (1984-2003)`",0.984680835101653,1.30469929623079,-1.00100150250438,1.98505991549385,0,"Rejected"
"71","V1_Atlus",-0.0845572798805612,0.350897160320895,-2.01607880428778,1.37283047387129,0,"Rejected"
"72","`V1_BAM! Entertainment`",-1.00537285839577,-1.15817343430841,-2.31153478435934,0.550543483709849,0,"Rejected"
"73","`V1_Bandai Namco Games`",0.864881916560864,0.754526996714584,-1.20987014142609,2.06874656509699,0,"Rejected"
"74","`V1_Bethesda  Softworks`",-0.078319096797165,-0.303399745705247,-0.951643335716093,1.49317330994926,0,"Rejected"
"75","`V1_Blizzard Entertainment`",3.39147117395007,3.40831373579722,1.68382300545566,5.16885409152381,0.565656565656566,"Confirmed"
"76","V1_Capcom",1.19785301784635,1.14464775398334,-0.524839422005649,2.95751496594398,0,"Rejected"
"77","`V1_cdv Software Entertainment`",-0.523806654205924,-0.640822632079201,-2.70077539933395,2.34223382738208,0,"Rejected"
"78","V1_Codemasters",-0.0320956518974636,-0.0104577231358342,-1.00016605547594,1.06815026038045,0,"Rejected"
"79","`V1_Crave Entertainment`",4.2613131295788,4.34202165986275,1.54406120632928,6.18895284855373,0.777777777777778,"Confirmed"
"80","`V1_D3 Publisher`",-0.377799656626297,-0.556269423690097,-1.69621808824452,1.96410364718908,0,"Rejected"
"81","`V1_Deep Silver`",3.19924052156291,3.1365113856353,0.668690450677012,5.46968515055826,0.474747474747475,"Confirmed"
"82","`V1_Disney Interactive Studios`",0.790835947045701,0.810787535801952,-1.08702789387886,2.77693740893462,0,"Rejected"
"83","`V1_DreamCatcher Interactive`",0.0758728472629888,0.187775656047146,-2.33539716727828,1.65658509941298,0,"Rejected"
"84","`V1_Eidos Interactive`",-0.806080403939458,-0.807901823326059,-2.81078208692355,1.1946538281083,0,"Rejected"
"85","`V1_Electronic Arts`",3.11626959731313,3.16438818712617,0.205091432077521,5.33445752756139,0.494949494949495,"Rejected"
"86","`V1_Focus Home Interactive`",-0.678678246435162,-0.950941876575378,-2.43976342244305,1.03646472697638,0,"Rejected"
"87","`V1_Fox Interactive`",-0.753065139039709,-0.581180137529477,-2.39686670715232,1.02973578671224,0,"Rejected"
"88","V1_Gameloft",-0.633745122714471,-0.628645281880931,-2.37371674687901,0.597250654238546,0,"Rejected"
"89","`V1_Gathering of Developers (aka GOD Games)`",-1.5667354535958,-1.48326953583342,-2.99711424773414,-0.361665932108833,0,"Rejected"
"90","`V1_GT Interactive`",0.181440159293295,-0.127796980037553,-1.04944011865151,1.6568791352589,0,"Rejected"
"91","`V1_Hasbro Interactive`",-1.10365565150584,-1.0393088950705,-2.31396458675477,0.587608450329114,0,"Rejected"
"92","`V1_Hudson Soft`",2.07124884158989,2.21916478950216,-0.0315389559974456,3.87086874230088,0,"Rejected"
"93","V1_Infogrames",3.24733367832584,3.26160807291884,1.47648331789383,5.7955306658277,0.434343434343434,"Rejected"
"94","V1_Interplay",-0.561157700376642,-0.2506768271771,-3.49995833726256,2.4321123673857,0,"Rejected"
"95","V1_Koei",-0.277376597054235,-0.404050968069051,-2.13559891433813,1.13179485154305,0,"Rejected"
"96","V1_Konami",0.659479858405686,0.356348088999549,-0.755227881592786,2.85114509861285,0,"Rejected"
"97","V1_LucasArts",0.313793213377611,0.2395896828549,-0.789060135816088,2.86023407608725,0,"Rejected"
"98","V1_Majesco",3.67646060519717,3.60004072055299,0.694531391264098,6.54953313994783,0.636363636363636,"Confirmed"
"99","V1_Microsoft",1.9113283520895,1.93936293488893,0.129807921093342,3.852456541848,0.0101010101010101,"Rejected"
"100","`V1_Microsoft Game Studios`",1.27018343211447,1.13231508113139,0.00266966073945521,3.31868666493161,0.0101010101010101,"Rejected"
"101","`V1_Midway  Games`",2.59162628673807,2.55865979430635,0.20230510281562,5.11573899162488,0.121212121212121,"Rejected"
