,game_name,url
316,Arcade's Greatest Hits: The Atari Collection 1,https://en.wikipedia.org/wiki/Arcade%27s_Greatest_Hits:_The_Atari_Collection_1
317,Arcade's Greatest Hits: The Midway Collection 2,https://en.wikipedia.org/wiki/Arcade%27s_Greatest_Hits:_The_Midway_Collection_2
318,Arcania: Gothic IV,NA
319,Arcanum: Of Steamworks and Magick Obscura,https://en.wikipedia.org/wiki/Arcanum:_Of_Steamworks_and_Magick_Obscura
320,Pool Paradise,https://en.wikipedia.org/wiki/Pool_Paradise
321,Arctic Tale,https://en.wikipedia.org/wiki/Arctic_Tale
322,Arctic Thunder,https://en.wikipedia.org/wiki/Arctic_Thunder
323,Area 51 [1996],NA
324,Arkanoid,https://en.wikipedia.org/wiki/Arkanoid
325,Arkanoid DS,https://en.wikipedia.org/wiki/Arkanoid_DS
326,ArmA II,https://en.wikipedia.org/wiki/ARMA_2
327,ArmA II: Combined Operations,NA
328,ArmA II: Operation Arrowhead,NA
329,ArmA III,https://en.wikipedia.org/wiki/ARMA_3
330,ArmA: Combat Operations,NA
331,Armada [1999],NA
332,Armello,https://en.wikipedia.org/wiki/Armello
333,Armored Core,https://en.wikipedia.org/wiki/Armored_Core
334,Armored Core 2,https://en.wikipedia.org/wiki/Armored_Core_2
335,Armored Core 2: Another Age,https://en.wikipedia.org/wiki/Armored_Core_2:_Another_Age
336,Armored Core 3,https://en.wikipedia.org/wiki/Armored_Core_3
337,Armored Core 4,https://en.wikipedia.org/wiki/Armored_Core_4
338,Armored Core Formula Front -- Extreme Battle,NA
339,Armored Core V,https://en.wikipedia.org/wiki/Armored_Core_V
340,Armored Core: Last Raven,https://en.wikipedia.org/wiki/Armored_Core:_Last_Raven
341,Armored Core: Master of Arena,https://en.wikipedia.org/wiki/Armored_Core:_Master_of_Arena
342,Armored Core: Nexus,https://en.wikipedia.org/wiki/Armored_Core:_Nexus
343,Armored Core: Nine Breaker,https://en.wikipedia.org/wiki/Armored_Core:_Nine_Breaker
